,missing_fraction
v037_race_nhopi,0.9714463066418374
v037_race_nhopi_cilow,0.9714463066418374
v037_race_nhopi_cihigh,0.9714463066418374
v138_race_aian,0.9695841092489137
v138_race_aian_cihigh,0.9695841092489137
v138_race_aian_cilow,0.9695841092489137
v039_race_aian,0.9689633767846059
v039_race_aian_cilow,0.9689633767846059
v039_race_aian_cihigh,0.9689633767846059
v128_race_asian,0.9652389819987586
v128_race_asian_cilow,0.9652389819987586
v128_race_asian_cihigh,0.9652389819987586
v039_race_asian_cihigh,0.9649286157666046
v039_race_asian,0.9649286157666046
v039_race_asian_cilow,0.9649286157666046
v161_race_asian_cihigh,0.9602731222842955
v161_race_asian,0.9602731222842955
v161_race_asian_cilow,0.9602731222842955
v014_race_asian_cilow,0.9500310366232154
v014_race_asian_cihigh,0.9500310366232154
v014_race_asian,0.9500310366232154
v014_race_aian,0.9220980757293606
v014_race_aian_cilow,0.9220980757293606
v014_race_aian_cihigh,0.9220980757293606
v129_race_hispanic,0.9189944134078212
v159_race_aian,0.9189944134078212
v129_race_hispanic_cilow,0.9189944134078212
v129_race_hispanic_cihigh,0.9189944134078212
v160_race_aian,0.9140285536933581
v005_race_aian,0.9140285536933581
v147_race_aian_cihigh,0.9130974549968963
v147_race_aian,0.9130974549968963
v147_race_aian_cilow,0.9130974549968963
v037_race_aian,0.9115456238361266
v037_race_aian_cihigh,0.9115456238361266
v037_race_aian_cilow,0.9115456238361266
v135_race_aian,0.9106145251396648
v135_race_aian_cilow,0.9106145251396648
v135_race_aian_cihigh,0.9106145251396648
v015_race_hispanic_cihigh,0.9106145251396648
v015_race_hispanic_cilow,0.9106145251396648
v015_race_hispanic,0.9106145251396648
v135_race_asian_cihigh,0.9065797641216635
v135_race_asian,0.9065797641216635
v135_race_asian_cilow,0.9065797641216635
v161_race_black_cihigh,0.904096834264432
v161_race_black,0.904096834264432
v161_race_black_cilow,0.904096834264432
v148_race_hispanic_cihigh,0.9006828057107387
v148_race_hispanic_cilow,0.9006828057107387
v148_race_hispanic,0.9006828057107387
v161_race_hispanic_cilow,0.8954065797641216
v161_race_hispanic_cihigh,0.8954065797641216
v161_race_hispanic,0.8954065797641216
v138_race_hispanic,0.8845437616387337
v138_race_hispanic_cihigh,0.8845437616387337
v138_race_hispanic_cilow,0.8845437616387337
v050_race_aian,0.8836126629422719
v005_race_asian,0.883302296710118
v129_race_black_cihigh,0.8805090006207325
v129_race_black_cilow,0.8805090006207325
v129_race_black,0.8805090006207325
v001_race_aian_cihigh,0.8801986343885785
v127_race_aian_cihigh,0.8801986343885785
v001_race_aian_cilow,0.8801986343885785
v001_race_aian,0.8801986343885785
v127_race_aian,0.8801986343885785
v127_race_aian_cilow,0.8801986343885785
v001_race_asian_cilow,0.8758535071384234
v001_race_asian_cihigh,0.8758535071384234
v127_race_asian_cihigh,0.8758535071384234
v127_race_asian,0.8758535071384234
v127_race_asian_cilow,0.8758535071384234
v001_race_asian,0.8758535071384234
v001_race_white_flag,0.8699565487274985
v067_race_aian,0.8684047175667288
v067_race_aian_cilow,0.8684047175667288
v067_race_aian_cihigh,0.8684047175667288
v159_race_asian,0.8662321539416511
v128_race_hispanic,0.8516449410304159
v128_race_hispanic_cilow,0.8516449410304159
v128_race_hispanic_cihigh,0.8516449410304159
v160_race_asian,0.8438857852265673
v138_race_black,0.8389199255121043
v138_race_black_cilow,0.8389199255121043
v138_race_black_cihigh,0.8389199255121043
v039_race_hispanic_cihigh,0.8314711359404097
v039_race_hispanic_cilow,0.8314711359404097
v039_race_hispanic,0.8314711359404097
v147_race_asian_cihigh,0.8255741775294848
v147_race_asian_cilow,0.8255741775294848
v147_race_asian,0.8255741775294848
v155_race_aian,0.8178150217256362
v067_race_asian_cihigh,0.8106765983860956
v067_race_asian_cilow,0.8106765983860956
v067_race_asian,0.8106765983860956
v128_race_black,0.8047796399751707
v128_race_black_cilow,0.8047796399751707
v128_race_black_cihigh,0.8047796399751707
v148_race_black,0.8004345127250155
v148_race_black_cilow,0.8004345127250155
v148_race_black_cihigh,0.8004345127250155
v037_race_asian_cilow,0.7948479205462445
v037_race_asian_cihigh,0.7948479205462445
v037_race_asian,0.7948479205462445
v015_race_black,0.7892613283674736
v015_race_black_cihigh,0.7892613283674736
v015_race_black_cilow,0.7892613283674736
v039_race_black_cihigh,0.7725015518311608
v039_race_black_cilow,0.7725015518311608
v039_race_black,0.7725015518311608
v005_race_hispanic,0.7600869025450031
v024_race_asian_cilow,0.7594661700806952
v024_race_asian,0.7594661700806952
v024_race_asian_cihigh,0.7594661700806952
v024_race_aian_cihigh,0.749534450651769
v024_race_aian_cilow,0.749534450651769
v024_race_aian,0.749534450651769
v129_race_white_cihigh,0.7486033519553073
v129_race_white_cilow,0.7486033519553073
v129_race_white,0.7486033519553073
v037_race_tom_cilow,0.7439478584729982
v037_race_tom,0.7439478584729982
v037_race_tom_cihigh,0.7439478584729982
v014_race_tom_cilow,0.7222222222222222
v014_race_tom_cihigh,0.7222222222222222
v014_race_tom,0.7222222222222222
v050_race_asian,0.7219118559900682
v135_race_hispanic_cihigh,0.7057728119180633
v135_race_hispanic_cilow,0.7057728119180633
v135_race_hispanic,0.7057728119180633
v015_race_white_cihigh,0.6958410924891372
v015_race_white,0.6958410924891372
v015_race_white_cilow,0.6958410924891372
v067_race_black_cihigh,0.6685288640595903
v067_race_black_cilow,0.6685288640595903
v067_race_black,0.6685288640595903
v159_race_black,0.6682184978274364
v050_race_hispanic,0.6657355679702048
v127_race_hispanic_cihigh,0.6564245810055865
v127_race_hispanic_cilow,0.6564245810055865
v127_race_hispanic,0.6564245810055865
v001_race_hispanic,0.6564245810055865
v001_race_hispanic_cilow,0.6564245810055865
v001_race_hispanic_cihigh,0.6564245810055865
v155_race_asian,0.6477343265052762
v159_race_hispanic,0.6452513966480447
v149_denominator,0.6421477343265053
v149_cihigh,0.6421477343265053
v149_rawvalue,0.6421477343265053
v149_cilow,0.6421477343265053
v149_numerator,0.6421477343265053
v129_cihigh,0.6362507759155804
v129_cilow,0.6362507759155804
v129_denominator,0.6362507759155804
v129_rawvalue,0.6362507759155804
v129_numerator,0.6362507759155804
v014_race_black_cilow,0.6353196772191185
v014_race_black,0.6353196772191185
v014_race_black_cihigh,0.6353196772191185
v160_race_black,0.6343885785226567
v135_race_black_cilow,0.6241464928615766
v135_race_black,0.6241464928615766
v135_race_black_cihigh,0.6241464928615766
v181_cihigh,0.6225946617008069
v181_cilow,0.6225946617008069
v147_race_black_cihigh,0.6039726877715704
v147_race_black,0.6039726877715704
v147_race_black_cilow,0.6039726877715704
v005_race_black,0.6021104903786468
v147_race_hispanic,0.5986964618249534
v147_race_hispanic_cilow,0.5986964618249534
v147_race_hispanic_cihigh,0.5986964618249534
v063_race_aian,0.5946617008069522
v063_race_aian_cilow,0.5946617008069522
v063_race_aian_cihigh,0.5946617008069522
v063_race_asian,0.5934202358783365
v063_race_asian_cilow,0.5934202358783365
v063_race_asian_cihigh,0.5934202358783365
v067_race_hispanic_cihigh,0.5794537554314091
v067_race_hispanic_cilow,0.5794537554314091
v067_race_hispanic,0.5794537554314091
v037_race_black,0.5667287399130975
v037_race_black_cihigh,0.5667287399130975
v037_race_black_cilow,0.5667287399130975
v160_race_hispanic,0.5630043451272502
v015_denominator,0.5577281191806331
v015_cilow,0.5577281191806331
v015_numerator,0.5577281191806331
v015_rawvalue,0.5577281191806331
v015_cihigh,0.5577281191806331
v127_race_black,0.5546244568590938
v127_race_black_cilow,0.5546244568590938
v127_race_black_cihigh,0.5546244568590938
v001_race_black,0.5546244568590938
v001_race_black_cilow,0.5546244568590938
v001_race_black_cihigh,0.5546244568590938
v050_race_black,0.5515207945375543
v037_race_hispanic_cihigh,0.5257603972687771
v037_race_hispanic,0.5257603972687771
v037_race_hispanic_cilow,0.5257603972687771
v155_race_hispanic,0.5220360024829298
v014_race_hispanic,0.5186219739292365
v014_race_hispanic_cihigh,0.5186219739292365
v014_race_hispanic_cilow,0.5186219739292365
v128_race_white_cilow,0.4931719428926133
v128_race_white,0.4931719428926133
v128_race_white_cihigh,0.4931719428926133
v024_race_black_cihigh,0.4903786468032278
v024_race_black_cilow,0.4903786468032278
v024_race_black,0.4903786468032278
v155_race_black,0.4649286157666046
v063_race_black_cilow,0.4515828677839851
v063_race_black,0.4515828677839851
v063_race_black_cihigh,0.4515828677839851
v138_race_white_cilow,0.42178770949720673
v138_race_white,0.42178770949720673
v138_race_white_cihigh,0.42178770949720673
v138_cilow,0.3761638733705773
v138_cihigh,0.3761638733705773
v138_rawvalue,0.3761638733705773
v138_numerator,0.3761638733705773
v138_denominator,0.3761638733705773
v001_race_black_flag,0.37274984481688395
v128_cihigh,0.3612662942271881
v128_cilow,0.3612662942271881
v128_denominator,0.3612662942271881
v128_numerator,0.3612662942271881
v128_rawvalue,0.3612662942271881
v141_rawvalue,0.35940409683426444
v148_race_white_cilow,0.34202358783364367
v148_race_white,0.34202358783364367
v148_race_white_cihigh,0.34202358783364367
v001_race_hispanic_flag,0.2914338919925512
Received food stamps in the past 12 months among adults,0.28646803227808815
Utility services shut-off threat in the past 12 months among adults,0.28646803227808815
Housing insecurity in the past 12 months among adults,0.28646803227808815
Lack of social and emotional support among adults,0.28646803227808815
Loneliness among adults,0.28646803227808815
Food insecurity in the past 12 months among adults,0.28646803227808815
Lack of reliable transportation in the past 12 months among adults,0.28646803227808815
v161_race_white,0.2849162011173184
v161_race_white_cilow,0.2849162011173184
v161_race_white_cihigh,0.2849162011173184
v148_rawvalue,0.28429546865301053
v148_cihigh,0.28429546865301053
v148_cilow,0.28429546865301053
v148_denominator,0.28429546865301053
v148_numerator,0.28429546865301053
v063_race_hispanic_cihigh,0.2569832402234637
v063_race_hispanic_cilow,0.2569832402234637
v063_race_hispanic,0.2569832402234637
v183_rawvalue,0.24984481688392302
v183_cihigh,0.24984481688392302
v184_cilow,0.24984481688392302
v184_rawvalue,0.24984481688392302
v184_cihigh,0.24984481688392302
v183_cilow,0.24984481688392302
v161_other_data_1,0.24270639354438237
v161_rawvalue,0.24270639354438237
v161_cihigh,0.24270639354438237
v161_cilow,0.24270639354438237
v161_denominator,0.24270639354438237
v161_numerator,0.24270639354438237
v024_race_hispanic,0.22780881440099318
v024_race_hispanic_cihigh,0.22780881440099318
v024_race_hispanic_cilow,0.22780881440099318
v021_rawvalue,0.22749844816883924
v021_numerator,0.22749844816883924
v021_denominator,0.22749844816883924
v159_race_white,0.2256362507759156
v039_race_white_cihigh,0.21849782743637491
v039_race_white,0.21849782743637491
v039_race_white_cilow,0.21849782743637491
v159_rawvalue,0.1980136561142148
v061_rawvalue,0.1669770328988206
v061_numerator,0.1669770328988206
v039_cihigh,0.16076970825574177
v039_cilow,0.16076970825574177
v039_denominator,0.16076970825574177
v039_rawvalue,0.16076970825574177
v039_numerator,0.16076970825574177
v014_race_white_cilow,0.15890751086281812
v014_race_white_cihigh,0.15890751086281812
v014_race_white,0.15890751086281812
v160_race_white,0.14369956548727497
v179_rawvalue,0.11669770328988206
v179_numerator,0.11669770328988206
v160_rawvalue,0.10459342023587834
v001_race_asian_flag,0.10459342023587834
v014_denominator,0.09962756052141528
v014_cihigh,0.09962756052141528
v014_cilow,0.09962756052141528
v014_numerator,0.09962756052141528
v014_rawvalue,0.09962756052141528
v065_rawvalue,0.09683426443202979
v065_numerator,0.09683426443202979
v065_denominator,0.09683426443202979
v001_race_aian_flag,0.09342023587833644
v167_rawvalue,0.09031657355679702
v037_race_white_cilow,0.0893854748603352
v037_race_white_cihigh,0.0893854748603352
v037_race_white,0.0893854748603352
Fair or poor self-rated health status among adults,0.08255741775294848
Current cigarette smoking among adults,0.08255741775294848
Current lack of health insurance among adults aged 18-64 years,0.08255741775294848
Depression among adults,0.08255741775294848
Diagnosed diabetes among adults,0.08255741775294848
Independent living disability among adults,0.08255741775294848
Arthritis among adults,0.08255741775294848
High cholesterol among adults who have ever been screened,0.08255741775294848
Frequent mental distress among adults,0.08255741775294848
Any disability among adults,0.08255741775294848
Vision disability among adults,0.08255741775294848
High blood pressure among adults,0.08255741775294848
Hearing disability among adults,0.08255741775294848
Frequent physical distress among adults,0.08255741775294848
Binge drinking among adults,0.08255741775294848
Visits to doctor for routine checkup within the past year among adults,0.08255741775294848
Cognitive disability among adults,0.08255741775294848
Cancer (non-skin) or melanoma among adults,0.08255741775294848
Cholesterol screening among adults,0.08255741775294848
Chronic obstructive pulmonary disease among adults,0.08255741775294848
Self-care disability among adults,0.08255741775294848
Coronary heart disease among adults,0.08255741775294848
Current asthma among adults,0.08255741775294848
No leisure-time physical activity among adults,0.08255741775294848
Stroke among adults,0.08255741775294848
Taking medicine to control high blood pressure among adults with high blood pressure,0.08255741775294848
Obesity among adults,0.08255741775294848
Mobility disability among adults,0.08255741775294848
v062_rawvalue,0.07728119180633147
v062_other_data_1,0.07728119180633147
v135_race_white,0.07697082557417753
v135_race_white_cilow,0.07697082557417753
v135_race_white_cihigh,0.07697082557417753
v004_other_data_1,0.07572936064556177
v004_rawvalue,0.07572936064556177
v147_race_white_cihigh,0.07541899441340782
v147_race_white,0.07541899441340782
v147_race_white_cilow,0.07541899441340782
v172_rawvalue,0.07417752948479206
v172_numerator,0.07417752948479206
v059_cilow,0.06641837368094351
v059_cihigh,0.06641837368094351
v181_rawvalue,0.06424581005586592
v045_rawvalue,0.061762880198634386
v045_numerator,0.061762880198634386
v037_numerator,0.05803848541278709
v037_rawvalue,0.05803848541278709
v135_denominator,0.05803848541278709
v037_denominator,0.05803848541278709
v037_cihigh,0.05803848541278709
v005_race_white,0.05803848541278709
v135_rawvalue,0.05803848541278709
v135_numerator,0.05803848541278709
v135_cilow,0.05803848541278709
v135_cihigh,0.05803848541278709
v037_cilow,0.05803848541278709
v127_race_white,0.05617628801986344
v001_race_white,0.05617628801986344
v001_race_white_cihigh,0.05617628801986344
v127_race_white_cihigh,0.05617628801986344
v127_race_white_cilow,0.05617628801986344
v001_race_white_cilow,0.05617628801986344
v169_rawvalue,0.05493482309124767
v088_rawvalue,0.054003724394785846
v088_other_data_1,0.054003724394785846
v125_rawvalue,0.05058969584109249
